term,unigram pos,123 ngram pos,uni vs 123 ngram
tibi,pronoun,pronoun,Same
[+2+]deco,review,review,Same
nunc,adverb,adverb,Same
qv[+1+]mne,review,review,Same
num,adverb,adverb,Same
+,review,review,Same
viator,noun,noun,Same
((:phallus?)),review,review,Same
amas,verb,verb,Same
ama,review,review,Same
scribit,review,review,Same
pedicatur,review,review,Same
legit,verb,verb,Same
opscultat,review,review,Same
prurit,review,review,Same
pathicus,review,review,Same
praeterit,review,review,Same
ursi,noun,noun,Same
comedant,review,review,Same
lego,verb,verb,Same
ianuariae,review,review,Same
amissos,review,review,Same
hin[c,review,review,Same
iam,adverb,adverb,Same
ob]liviscere,preposition,preposition,Same
graios,review,review,Same
δροϲοϲ,review,review,Same
((:animal,review,review,Same
et,conjunction,conjunction,Same
gladiator?)),noun,noun,Same
((:caput,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
cum,conjunction,conjunction,Same
naso,review,review,Same
magno)),adjective,adjective,Same
corinthus,noun,noun,Same
nolanus,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
-],review,review,Same
valeri,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
velis,noun,noun,Same
malisque)),review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
d)),review,review,Same
clodius,review,review,Same
μολα,review,review,Same
φουτουτρις,review,review,Same
dic,verb,verb,Same
mihi,pronoun,pronoun,Same
damoeta,review,review,Same
λατογένεια,review,review,Same
ἑκάτη,review,review,Same
((:cervus,review,review,Same
a,preposition,exclamation,NOT same
viro,noun,noun,Same
laqueo,noun,noun,Same
captus,participle,participle,Same
et,conjunction,conjunction,Same
a,preposition,exclamation,NOT same
cane,verb,verb,Same
assultatus)),review,review,Same
πρόκλα,review,review,Same
&#60;:stria,review,review,Same
13&#62;,review,review,Same
&#60;:stria,review,review,Same
16&#62;,review,review,Same
&#60;:stria,review,review,Same
17&#62;,review,review,Same
docendi,review,review,Same
dederit,review,review,Same
mercedem,noun,noun,Same
habeat,verb,verb,Same
petit,verb,verb,Same
superis,noun,noun,Same
((:herma,review,review,Same
prospiciens)),review,review,Same
((:caput,review,review,Same
hominis,noun,noun,Same
prospiciens)),review,review,Same
ἀναγεινώ&#60;sup&#62;σ&#60;/sup&#62;κων,review,review,Same
θεὸν,noun,noun,Same
σοι,pronoun,pronoun,Same
ὀρχῆσαι,review,review,Same
λε+νωδες,review,review,Same
ὀρχη,review,review,Same
τάφος,noun,noun,Same
((:folium,review,review,Same
heredae)),review,review,Same
salvius,review,review,Same
severus,review,review,Same
modicus,review,review,Same
νυηπλη,review,review,Same
ζεξω,review,review,Same
τυχη,review,review,Same
((:elephantus)),review,review,Same
((:homo,review,review,Same
galeatus)),adjective,adjective,Same
helene,review,review,Same
((:duae,review,review,Same
lanternae)),review,review,Same
((:gladiator,review,review,Same
prospiciens,review,review,Same
sica,noun,noun,Same
et,conjunction,conjunction,Same
scuto,review,review,Same
armatus)),noun,noun,Same
polycarpus,review,review,Same
cuproniusepol,review,review,Same
romulus,review,review,Same
caelo,noun,noun,Same
martis,noun,noun,Same
equitat,review,review,Same
vinicius,review,review,Same
florus,review,review,Same
messenius,review,review,Same
((s)),review,review,Same
tiber,review,review,Same
((:equus,review,review,Same
infrenatus,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
((:pars,review,review,Same
phalli?)),review,review,Same
macer,review,review,Same
popillius,review,review,Same
((:duae,review,review,Same
aves,noun,noun,Same
oppositae,review,review,Same
ciconiae?)),review,review,Same
ro++,review,review,Same
sume,review,review,Same
eudemus,review,review,Same
((:quadrupes?)),review,review,Same
((:caput,review,review,Same
equi,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
((:pars,review,review,Same
gladiatoris)),review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo)),verb,verb,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
gubernaculo)),review,review,Same
pri((m))a,review,review,Same
vidisti,verb,verb,Same
quo,adverb,adverb,Same
turnus,review,review,Same
equo,noun,noun,Same
q,review,review,Same
rem,noun,noun,Same
tar-,review,review,Same
-,punctuation,punctuation,Same
ty-,review,review,Same
mens,noun,noun,Same
faustio,review,review,Same
&#60;:altitudinum,review,review,Same
variarum&#62;,noun,noun,Same
mille,numeral,numeral,Same
acanthus,review,review,Same
vcq,review,review,Same
manius,review,review,Same
((:gladiator,review,review,Same
cum,conjunction,conjunction,Same
scuto,review,review,Same
provocator)),review,review,Same
ψας,review,review,Same
τοὺς,pronoun,pronoun,Same
ἐμοῦ,pronoun,pronoun,Same
ὅλους,adjective,adjective,Same
++π++,review,review,Same
popius,review,review,Same
sumptus,noun,noun,Same
amare,verb,verb,Same
vetat,verb,verb,Same
((:caput,review,review,Same
ad,preposition,preposition,Same
sin,conjunction,conjunction,Same
et,conjunction,conjunction,Same
pileus?)),review,review,Same
((:navis,review,review,Same
oneraria,review,review,Same
merces,noun,noun,Same
vehens,review,review,Same
et,conjunction,conjunction,Same
velis,noun,noun,Same
remis,noun,noun,Same
et,conjunction,conjunction,Same
rostro,review,review,Same
instructa)),participle,participle,Same
xii-cl,numeral,numeral,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]r,review,review,Same
feliculae,review,review,Same
bλ,review,review,Same
euma,review,review,Same
πέτρω,review,review,Same
phyllis,review,review,Same
ἀσίας,noun,noun,Same
πρώτοις,adjective,adjective,Same
ἐφεσίοις,review,review,Same
〚[---------]〛,review,review,Same
[----]+απε+++[---],review,review,Same
++η,review,review,Same
τὴν,pronoun,pronoun,Same
βαιτην,review,review,Same
καὶ,conjunction,conjunction,Same
ἀφανίσ[ῃ---],review,review,Same
ἔργον,noun,noun,Same
τῷ,pronoun,pronoun,Same
δήμῳ,noun,noun,Same
ἐὰν,conjunction,conjunction,Same
δὲ,review,review,Same
καταπείνῃ,review,review,Same
μηδὲν[---],noun,noun,Same
μη[---],review,review,Same
debere,verb,verb,Same
s¹lm,review,review,Same
cornelius,adjective,adjective,Same
faventinus,review,review,Same
tonsor,review,review,Same
((:cervus,review,review,Same
stans)),review,review,Same
ἁρπορκρᾶς,review,review,Same
paridi,review,review,Same
viiiiíiii,review,review,Same
postumi,review,review,Same
quicti,review,review,Same
((:aves,review,review,Same
oppositae)),review,review,Same
εὐφήμει,review,review,Same
τοῦ,pronoun,pronoun,Same
παιδίου,review,review,Same
τόπος,noun,noun,Same
διὰ,preposition,preposition,Same
θεόν,noun,noun,Same
παίδων,noun,noun,Same
δήμου,noun,noun,Same
αυρ[-]λ,review,review,Same
[--]υ,review,review,Same
clodiae,review,review,Same
μίαν,adjective,adjective,Same
[+2+],review,review,Same
ηκαια+,review,review,Same
mustelica,review,review,Same
autumat,review,review,Same
futuis,review,review,Same
anchario,review,review,Same
lina,review,review,Same
&#60;:striae,review,review,Same
12-13&#62;,review,review,Same
((:figura,review,review,Same
hominis,noun,noun,Same
vestimentis,noun,noun,Same
induta,participle,participle,Same
togati?)),review,review,Same
lalius,review,review,Same
fortis,adjective,adjective,Same
((:hominis,review,review,Same
facies)),noun,noun,Same
menander,review,review,Same
voconius,review,review,Same
albanius,review,review,Same
communis,adjective,adjective,Same
aurelius,review,review,Same
noniu,review,review,Same
a+ii+aiipidiiis,preposition,exclamation,NOT same
απολολει,review,review,Same
ζήτημα,review,review,Same
manio,review,review,Same
aemilio,review,review,Same
dea,noun,noun,Same
presenos,review,review,Same
praesens,adjective,adjective,Same
nostros,adjective,adjective,Same
succurre,review,review,Same
labori,noun,noun,Same
((:circulus,review,review,Same
duplex)),review,review,Same
iustus,adjective,adjective,Same
cinaedu[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
lasius,review,review,Same
inops,adjective,adjective,Same
iunius,adjective,adjective,Same
&#60;:trans,review,review,Same
hanc&#62;,pronoun,pronoun,Same
daphnicus,review,review,Same
repentinus,review,review,Same
mhnoϲ,review,review,Same
μελίβοιοϲ,review,review,Same
κεηρ,review,review,Same
((:quattuor,review,review,Same
circuli)),noun,noun,Same
socius,review,review,Same
vervicius,review,review,Same
sav,review,review,Same
aug,review,review,Same
((:tres,review,review,Same
lineae,review,review,Same
aequae)),review,review,Same
ἑρμίας,review,review,Same
rru,review,review,Same
rusticus,noun,noun,Same
rufina,review,review,Same
pier,review,review,Same
sittius,review,review,Same
αν,adjective,adjective,Same
κε,review,review,Same
υ,review,review,Same
((:navis,review,review,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
remis,noun,noun,Same
instructa,participle,participle,Same
cum,conjunction,conjunction,Same
figura,review,review,Same
hominis)),noun,noun,Same
mnester,review,review,Same
((:undecim,review,review,Same
lineae,review,review,Same
(animal?))),punctuation,punctuation,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
instructa,participle,participle,Same
et,conjunction,conjunction,Same
cum,conjunction,conjunction,Same
figura,review,review,Same
hominis)),noun,noun,Same
mno,review,review,Same
malianus,review,review,Same
glagus,review,review,Same
gl,review,review,Same
viabianus,review,review,Same
fortunate,review,review,Same
linge,review,review,Same
culum,review,review,Same
((:phallus,review,review,Same
nascens,review,review,Same
ab,preposition,preposition,Same
cauliculo?)),review,review,Same
iulius,noun,noun,Same
anthia,review,review,Same
πόπιος,review,review,Same
φίλη,adjective,adjective,Same
sotericus,review,review,Same
nonius,review,review,Same
mecio,review,review,Same
loca,noun,noun,Same
cedo,review,review,Same
tenendum,review,review,Same
piere,review,review,Same
((:phallus,review,review,Same
aut,conjunction,conjunction,Same
initium,noun,noun,Same
navis?)),noun,noun,Same
rubenses,review,review,Same
rub,review,review,Same
&#60;:columna,review,review,Same
i=stria,verb,verb,Same
4&#62;,review,review,Same
&#60;:columna,review,review,Same
ii=stria,pronoun,pronoun,Same
5&#62;,review,review,Same
&#60;:columna,review,review,Same
iii=stria,numeral,numeral,Same
6&#62;,review,review,Same
ciλ,review,review,Same
&#60;:columna,review,review,Same
iv=stria,review,review,Same
9&#62;,review,review,Same
epicurus,review,review,Same
utica,review,review,Same
c+++,conjunction,conjunction,Same
ascula,review,review,Same
pascela,review,review,Same
catedra,review,review,Same
hilarus,review,review,Same
stratus,review,review,Same
qu++nitu,review,review,Same
licinius,review,review,Same
ἐπαφρᾶ++++εs,review,review,Same
cave,verb,verb,Same
luccei,review,review,Same
beronice,review,review,Same
habenda,participle,participle,Same
futuere,review,review,Same
surus,review,review,Same
ianua,noun,noun,Same
cressa,review,review,Same
saturninae,review,review,Same
matri,noun,noun,Same
uncus,review,review,Same
telesius,review,review,Same
pompeianus,review,review,Same
duobus,adjective,adjective,Same
λvcvlvs,review,review,Same
aebuti,review,review,Same
salvia,review,review,Same
superba,adjective,adjective,Same
ianuarias,adjective,adjective,Same
πι+++ευδον++,review,review,Same
ἐπῆλθεν,verb,verb,Same
sexto,adjective,adjective,Same
burrenio,review,review,Same
ιζ,review,review,Same
θh,review,review,Same
κζ,review,review,Same
misit,verb,verb,Same
iterum,adverb,adverb,Same
agnas,review,review,Same
o,exclamation,exclamation,Same
simplex,review,review,Same
cima,review,review,Same
nempius,review,review,Same
phosphorus,review,review,Same
tuis,adjective,adjective,Same
choreis,noun,noun,Same
neptunalis,review,review,Same
κοε,review,review,Same
roma,noun,noun,Same
restituta,participle,participle,Same
nequam,adjective,adjective,Same
habitus,review,review,Same
opeval++l[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
&#60;:stria,review,review,Same
15&#62;,review,review,Same
salarius,review,review,Same
glaber,review,review,Same
rusiunnae,review,review,Same
laviniam,review,review,Same
trebenius,review,review,Same
iuliam,review,review,Same
dom,review,review,Same
&#60;:col,review,review,Same
i&#62;,verb,verb,Same
&#60;:col,review,review,Same
ii&#62;,pronoun,pronoun,Same
primigenia,review,review,Same
multa,adjective,noun,NOT same
marim,review,review,Same
((:circulus,review,review,Same
circulum,review,review,Same
continens,review,review,Same
tracti,review,review,Same
cum,conjunction,conjunction,Same
circino)),review,review,Same
cerrinus,review,review,Same
((:psittaci,review,review,Same
ut,conjunction,conjunction,Same
videtur,verb,verb,Same
figura)),review,review,Same
martialis,review,review,Same
calidius,review,review,Same
neronianus,review,review,Same
sebidia,review,review,Same
millia,numeral,numeral,Same
a+++,preposition,exclamation,NOT same
+++++,review,review,Same
mo[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
erminuca,review,review,Same
situs,review,review,Same
suellius,review,review,Same
arruntius,review,review,Same
iulias,review,review,Same
philetero,review,review,Same
caphiso,review,review,Same
futuerunt,review,review,Same
((:caput,review,review,Same
viri,noun,noun,Same
galeati)),review,review,Same
claudi,verb,verb,Same
caesaris,noun,noun,Same
urbane,adverb,adverb,Same
savfeius,review,review,Same
nox,noun,noun,Same
crescens,review,review,Same
voco,review,review,Same
noct---,review,review,Same
secundus,adjective,adjective,Same
bromius,review,review,Same
του,pronoun,pronoun,Same
ε+[---],verb,verb,Same
λουσιν,review,review,Same
πης,review,review,Same
((:caput,review,review,Same
et,conjunction,conjunction,Same
umeri,noun,noun,Same
hominis,noun,noun,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:duo,review,review,Same
capita,noun,noun,Same
gladiatoria?,review,review,Same
galeata)),review,review,Same
((:avis,review,review,Same
ad,preposition,preposition,Same
d)),review,review,Same
&#60;:vacat,review,review,Same
75,review,review,Same
cm,review,review,Same
altitudine&#62;,review,review,Same
((:avis,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:duo,review,review,Same
scarabei?,review,review,Same
rotundi,review,review,Same
unus,adjective,adjective,Same
ad,preposition,preposition,Same
d,review,review,Same
quattuor,numeral,numeral,Same
pedibus,noun,noun,Same
incedens)),review,review,Same
leon,review,review,Same
&#60;ad,review,review,Same
dexteram>,noun,noun,Same
((:galea,review,review,Same
cristata,review,review,Same
columnae,review,review,Same
vel,conjunction,adverb,NOT same
polo,review,review,Same
imposita)),review,review,Same
m---,review,review,Same
&#60;:infra&#62;,review,review,Same
((:gladiator,review,review,Same
armatus)),noun,noun,Same
eulymen,review,review,Same
((:facies,review,review,Same
partim,adverb,adverb,Same
delineata,review,review,Same
nasum,review,review,Same
et,conjunction,conjunction,Same
labrum)),noun,noun,Same
((:variae,review,review,Same
lineae,review,review,Same
alterae,review,review,Same
directae,review,review,Same
alterae,review,review,Same
curvae,adjective,adjective,Same
vela?)),noun,noun,Same
((:pars,review,review,Same
superior,adjective,adjective,Same
navis,noun,noun,Same
vela,noun,noun,Same
et,conjunction,conjunction,Same
malus)),adjective,adjective,Same
&#60;:pone,review,review,Same
hanc&#62;,pronoun,pronoun,Same
&#60;:inferius&#62;,review,review,Same
iiíiiiiiiiiííiiiiiiiiiiii,numeral,numeral,Same
&#60;:infra,review,review,Same
hanc&#62;,pronoun,pronoun,Same
δὸς,verb,verb,Same
πυγίσαι,review,review,Same
tertiani,review,review,Same
habitarunt,review,review,Same
[+1+]itices,review,review,Same
&#60;:in,review,review,Same
forma,noun,noun,Same
tabellae,review,review,Same
ansatae&#62;,review,review,Same
suae,adjective,adjective,Same
sever〚u〛,review,review,Same
us,review,review,Same
callidrome,review,review,Same
proculus,noun,noun,Same
+vsicz,review,review,Same
cigrotue,review,review,Same
ab,preposition,preposition,Same
h[-,review,review,Same
-,punctuation,punctuation,Same
-]r,review,review,Same
m,review,review,Same
vole,review,review,Same
((:quattuor,review,review,Same
naves,noun,noun,Same
instructae,review,review,Same
velis,noun,noun,Same
malis,adjective,adjective,Same
et,conjunction,conjunction,Same
gubernaculis)),review,review,Same
iudices,review,review,Same
dequi,review,review,Same
((:animal)),review,review,Same
((:tria,review,review,Same
hominum,noun,noun,Same
capita)),noun,noun,Same
locus,noun,noun,Same
rufinae,review,review,Same
ὑπ’,preposition,preposition,Same
ὀψὲ,adverb,adverb,Same
ὄρη,noun,noun,Same
πάρις,noun,noun,Same
πε++ε+ορεφ[---],review,review,Same
χρυσο[---],review,review,Same
+t,review,review,Same
acutius,review,review,Same
ἐλάινος,adjective,adjective,Same
πᾶσι,adjective,adjective,Same
φίλητος,review,review,Same
ἐλάινε,review,review,Same
χαίροις,verb,verb,Same
πολλὰ,adjective,adjective,Same
ἀγαθώτατε,review,review,Same
aquaria,review,review,Same
dua,review,review,Same
basis,review,review,Same
manus,noun,noun,Same
hamas,review,review,Same
duas,adjective,adjective,Same
cotidian[u,review,review,Same
i],verb,verb,Same
urceolos,review,review,Same
duos,adjective,adjective,Same
candelabra,noun,noun,Same
quattuor,numeral,numeral,Same
lucubratorium,review,review,Same
unum,adjective,adjective,Same
lucernam,noun,noun,Same
aeneam,review,review,Same
hamulam,review,review,Same
unam,adjective,adjective,Same
pelvis,review,review,Same
basim,review,review,Same
luterem,review,review,Same
gutos,review,review,Same
tres,numeral,numeral,Same
scapheola,review,review,Same
ferreas,adjective,adjective,Same
strigiles,review,review,Same
haenas,review,review,Same
marmorem,review,review,Same
aenea,noun,noun,Same
fuminaria,review,review,Same
seciolo,review,review,Same
((signum)),review,review,Same
&#60;:stria,review,review,Same
14&#62;,review,review,Same
mar,review,review,Same
avete,review,review,Same
utres,noun,noun,Same
sumus,verb,verb,Same
estis,verb,verb,Same
aere,noun,noun,Same
voluimus,review,review,Same
quando,adverb,adverb,Same
venistis,review,review,Same
exivimus,review,review,Same
eiacia++cv[+4+]++,review,review,Same
cur,adverb,adverb,Same
puella,noun,noun,Same
((:ianua)),review,review,Same
nasso,review,review,Same
fadius,review,review,Same
((:caput,review,review,Same
viri,noun,noun,Same
barbati,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
+7+,review,review,Same
neptunus,noun,noun,Same
((:nomen,review,review,Same
neptvnus,review,review,Same
in,preposition,preposition,Same
forma,noun,noun,Same
navis,noun,noun,Same
scriptum)),participle,participle,Same
filii,noun,noun,Same
voltinia,review,review,Same
magister,noun,noun,Same
quacumque,pronoun,pronoun,Same
+vt,review,review,Same
puellas,noun,noun,Same
multas,adjective,adjective,Same
bellis,noun,noun,Same
moribus,noun,noun,Same
nais,review,review,Same
sodalis,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]vi,review,review,Same
pateris,noun,noun,Same
be[ne---],review,review,Same
balbus,review,review,Same
coniuges,review,review,Same
myrtis,review,review,Same
euche,review,review,Same
ipsa,pronoun,pronoun,Same
νφ,review,review,Same
duovir,review,review,Same
erat,verb,verb,Same
d,review,review,Same
priscus,review,review,Same
caelator,review,review,Same
campano,review,review,Same
gemmario,review,review,Same
φηλεικίων,review,review,Same
μο,review,review,Same
α´,adjective,adjective,Same
αϲ,review,review,Same
γ´,review,review,Same
novembris,noun,noun,Same
vestia,review,review,Same
[-]κακ,review,review,Same
οϲ,review,review,Same
liberalis,review,review,Same
genicius,review,review,Same
primigenius,review,review,Same
((:gladiator,review,review,Same
cum,conjunction,conjunction,Same
scuto,review,review,Same
longo,adjective,adjective,Same
galea,review,review,Same
et,conjunction,conjunction,Same
gladio)),noun,noun,Same
anicetus,review,review,Same
isthmus,review,review,Same
redire,review,review,Same
minus,adverb,adverb,Same
innectebis,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
remis,noun,noun,Same
et,conjunction,conjunction,Same
delphinus)),review,review,Same
φοῖβος,noun,noun,Same
((:circulus,review,review,Same
circulum,review,review,Same
continens,review,review,Same
circino,review,review,Same
tracti)),review,review,Same
((:circulus,review,review,Same
a,preposition,exclamation,NOT same
manu,noun,noun,Same
tractus,participle,participle,Same
cum,conjunction,conjunction,Same
lineis,review,review,Same
exterioribus)),review,review,Same
((:circulus,review,review,Same
a,preposition,exclamation,NOT same
manu,noun,noun,Same
tractus,participle,participle,Same
cum,conjunction,conjunction,Same
lineis,review,review,Same
interioribus)),review,review,Same
fur,noun,noun,Same
ludus,noun,noun,Same
meus,adjective,adjective,Same
novimus,verb,verb,Same
columbus,review,review,Same
malus,adjective,adjective,Same
quintinus,review,review,Same
((:circuli?)),review,review,Same
floronius,review,review,Same
arrius,review,review,Same
filius,noun,noun,Same
spaerus,review,review,Same
curia,noun,noun,Same
augustiana,review,review,Same
eunomus,review,review,Same
apollinaris,review,review,Same
medicus,noun,noun,Same
titi,review,review,Same
imperatoris,noun,noun,Same
cacavit,review,review,Same
primigeniae,review,review,Same
dominae,noun,noun,Same
veni,verb,verb,Same
puteolos,review,review,Same
vico,noun,noun,Same
tyaniano,review,review,Same
quaere,review,review,Same
messio,review,review,Same
nummulario,review,review,Same
hermerotem,review,review,Same
phoebi,noun,noun,Same
quin,conjunction,conjunction,Same
mammium,review,review,Same
anicetum,review,review,Same
εὐπρέπης,review,review,Same
/δφξβ,punctuation,punctuation,Same
conticu,review,review,Same
ere,review,review,Same
omnes,adjective,adjective,Same
siqua,pronoun,pronoun,Same
c[-]atit,conjunction,conjunction,Same
quatit,review,review,Same
((:thymiaterion)),review,review,Same
ζήτημα,noun,noun,Same
φίλ’,adjective,adjective,Same
ἐλάθε,review,review,Same
ὢν,participle,participle,Same
νόθ&#60;sup&#62;ο&#60;/sup&#62;ς,review,review,Same
mortuus,adjective,adjective,Same
symphorus,review,review,Same
latinus,review,review,Same
sica,noun,noun,Same
novi,verb,verb,Same
aptus,review,review,Same
se,pronoun,pronoun,Same
tutari,review,review,Same
nescit,verb,verb,Same
vivere,verb,verb,Same
minimum,adjective,adjective,Same
fit,verb,verb,Same
contemnendo,review,review,Same
venimus,verb,verb,Same
cupidi,review,review,Same
multo,adverb,adverb,Same
magis,adverb,noun,NOT same
ire,verb,verb,Same
cupimus,review,review,Same
quartilla,review,review,Same
sentius,review,review,Same
ἐξώλη,review,review,Same
σου,pronoun,pronoun,Same
ἀδελφὸς,noun,noun,Same
ἀναγινώσκοντι,review,review,Same
[---τ]ροφίμη,review,review,Same
+νεθης,review,review,Same
+αι,review,review,Same
ενοηγας,review,review,Same
θάλλος,review,review,Same
((:figura,review,review,Same
viri)),noun,noun,Same
nonio,review,review,Same
felicioni,review,review,Same
marca,review,review,Same
cadia,review,review,Same
rhesus,review,review,Same
+imas,review,review,Same
abccdef++,review,review,Same
&#60;:stria,review,review,Same
1&#62;,review,review,Same
&#60;:stria,review,review,Same
2&#62;,review,review,Same
&#60;:stria,review,review,Same
20&#62;,review,review,Same
uxor,noun,noun,Same
synethus,review,review,Same
albanus,review,review,Same
pomponius,review,review,Same
severi,review,review,Same
fuficia,review,review,Same
tu+eriti,pronoun,pronoun,Same
co,review,review,Same
filia,noun,noun,Same
mur,review,review,Same
βινεῖς,review,review,Same
lingit,review,review,Same
optatus,review,review,Same
tatius,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]prius,review,review,Same
apelles,review,review,Same
cubicularius,review,review,Same
dextro,adjective,adjective,Same
pranderunt,review,review,Same
iucundissime,review,review,Same
future,review,review,Same
simul,adverb,adverb,Same
virilio,review,review,Same
cinnamus,noun,noun,Same
((:gladiatorum,review,review,Same
figurae)),noun,noun,Same
meae,adjective,adjective,Same
siculis,review,review,Same
errant,verb,verb,Same
&#60;:columna,review,review,Same
i,verb,verb,Same
stria,review,review,Same
4&#62;,review,review,Same
&#60;:columna,review,review,Same
ii,pronoun,pronoun,Same
stria,review,review,Same
5&#62;,review,review,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
et,conjunction,conjunction,Same
velis,noun,noun,Same
et,conjunction,conjunction,Same
remis)),noun,noun,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]ius,review,review,Same
frontone,review,review,Same
modestus,review,review,Same
musae,noun,noun,Same
((:navis,review,review,Same
cum,conjunction,conjunction,Same
malo,verb,verb,Same
et,conjunction,conjunction,Same
velis)),noun,noun,Same
((:duo,review,review,Same
gladiatores,noun,noun,Same
murmillo,review,review,Same
et,conjunction,conjunction,Same
samnes?,review,review,Same
scutis,noun,noun,Same
et,conjunction,conjunction,Same
galeis,review,review,Same
induti,review,review,Same
alter,adjective,adjective,Same
gladio,noun,noun,Same
brevi,adjective,adjective,Same
alter,adjective,adjective,Same
hasta,noun,noun,Same
armatus)),noun,noun,Same
δῆμος,noun,noun,Same
σὺν,preposition,preposition,Same
ε,verb,verb,Same
++,review,review,Same
ι,review,review,Same
πυγίζεται,review,review,Same
οξ,review,review,Same
totus,adjective,adjective,Same
εἰς,preposition,preposition,Same
++[---],review,review,Same
τῶν,review,pronoun,NOT same
ὀφθαρμίων,review,review,Same
ἐθαραπεύ,review,review,Same
θη,review,review,Same
moeɔcia,review,review,Same
hirrius,review,review,Same
((:equi,review,review,Same
caput,noun,noun,Same
et,conjunction,conjunction,Same
thorax)),review,review,Same
quota,adjective,adjective,Same
sunt,verb,verb,Same
capita,noun,noun,Same
sella,review,review,Same
quadrua,review,review,Same
equales,review,review,Same
dina,review,review,Same
&#60;:ad,review,review,Same
perpendiculum,review,review,Same
sursum?&#62;,adverb,adverb,Same
marci,review,review,Same
bruttidi,review,review,Same
stati,review,review,Same
[-,review,review,Same
-,punctuation,punctuation,Same
-]ecmona[-,review,review,Same
-,punctuation,punctuation,Same
-],review,review,Same
ratio,noun,noun,Same
ugoni,review,review,Same
pridie,adverb,adverb,Same
nonas,noun,noun,Same
((:caput,review,review,Same
et,conjunction,conjunction,Same
artus,noun,noun,Same
anteriores,review,review,Same
equi,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
((:caput,review,review,Same
feminae,review,review,Same
ad,preposition,preposition,Same
sin)),conjunction,conjunction,Same
panta,review,review,Same
huc,adverb,adverb,Same
conveniunt,verb,verb,Same
mane,verb,verb,Same
mulam,noun,noun,Same
asti,review,review,Same
assem,noun,noun,Same
agathemerus,review,review,Same
((:gladiator,review,review,Same
cum,conjunction,conjunction,Same
scuto)),review,review,Same
aristo,review,review,Same
tonsori,review,review,Same
+ot,review,review,Same
συνέρως,review,review,Same
καλὸς,adjective,adjective,Same
ianuari,review,review,Same
lingis,review,review,Same
mentulam,review,review,Same
syneros,review,review,Same
idibus,noun,noun,Same
iulis,review,review,Same
inaures,review,review,Same
positas,participle,participle,Same
faustillam,review,review,Same
((denarium)),review,review,Same
usuram,noun,noun,Same
deduxit,review,review,Same
summa,adjective,adjective,Same
λιβερᾶλις,review,review,Same
((quinque,review,review,Same
centum)),numeral,numeral,Same
arma,noun,noun,Same
meis,adjective,adjective,Same
adsueta,review,review,Same
umeris,noun,noun,Same
debita,participle,participle,Same
ponam,verb,verb,Same
mea,adjective,adjective,Same
confirmas,review,review,Same
prospera,adjective,adjective,Same
vota,noun,noun,Same
syntrophus,review,review,Same
auget,verb,verb,Same
scaudi,review,review,Same
((:gladiator,review,review,Same
armatus,noun,noun,Same
thraex?)),adjective,adjective,Same
((:clipeus,review,review,Same
oblongus)),review,review,Same
sabinus,review,review,Same
pedicat,review,review,Same
apollonia,review,review,Same
[---]a[---],review,review,Same
dat,verb,verb,Same
futere[---],review,review,Same
nero,review,review,Same
habitos,review,review,Same
glo+rus,review,review,Same
posteru,review,review,Same
postridie,adverb,adverb,Same
matris,noun,noun,Same
eleusinae,review,review,Same
((:scyphus)),review,review,Same
spes,noun,noun,Same
αμ,review,review,Same
πε,review,review,Same
+++,review,review,Same
δεστανωι,review,review,Same
ἀναγ,review,review,Same
col((denarius)),review,review,Same
colono,review,review,Same
quaesivi,verb,verb,Same
facias,verb,verb,Same
re[s,noun,noun,Same
s]erva,review,review,Same
res,noun,noun,Same
tuas,adjective,adjective,Same
nol[i,review,review,Same
-,punctuation,punctuation,Same
-,punctuation,punctuation,Same
