EDR#,CIL#,Varone #,Langner #,Regio.Insula.Door ,Text of Inscription ,Caption for graffito,Translation,Commentary ,AGP = Update of CIL?,Contributors,,,,,,,,,,,
EDR128651,8204,,,,"IV Non(as) Iuli(ias) paenulam, palliolum [?posita ad Fau]stilla(m). Pr[o * (?)] L usur[a] [deduxit?] XIIIS(?) [aeri]s a(sses) VIII.",Details of a loan,"Four days before the Nones of July, a traveler's cloak and a small cloak (were deposited with) Faustilla (for collateral). For fifty (denarii?) she [is charging] 13.5 copper asses (per month, as interest).   8.",,,,,,,,,,,,,,
EDR128550,,,,,D C C X C V I I I,Numerical graffito,798,,,,,,,,,,,,,,
EDR128552,,,,,I I ,Tally marks,2,,,,,,,,,,,,,,
EDR128615,,,,,,Graffito recording a business transaction?,A(ulus) Septumiu(s) (owes?) to (Vin?)cius Fabius 4000? (4 x 1000?) asses,,,,,,,,,,,,,,
EDR128616,,,,,"(L)uc(u)mo
quis CCCP",Graffito mentioning an uncommon name,"Lucumo
who 300[-] (?)",,,,,,,,,,,,,,
EDR128542,8208,,,,L X I I I I ,Numerical graffito,64,,,,,,,,,,,,,,
EDR128617,8209,,,,[Ma]rcius (?) Atimetus,Graffito mentioning a name,Marcius Atimetus,,,,,,,,,,,,,,
EDR128556,8210,,,,EMISCCN,Graffito recording a business transaction,You buy (for the amount of?) 200 coins (?),,,,,,,,,,,,,,
EDR124967,,,,,QUARTIL(L?)A VALE,Greetings to Quartilla,"Farewell, Quartil(l)a!",,,,,,,,,,,,,,
EDR124968,,,,,QUARTIL(L?)A ,Name,Quartil(l)a,,,,,,,,,,,,,,
EDR124969,8213,,,,"IIIIIIIIIIIIII IIII IIIIIIIIIIIIIIIIII
IIIIIIIIIIII IIIIIIIII IIIII IIIIIIIII",Tally marks,"14, 4
18
12, 9
5, 9",,,,,,,,,,,,,,
EDR124971,8214,,,,IIIIIIIIIIIIIIIIIIII IIIIIIIIIIII,Tally marks,"20, 12",,,,,,,,,,,,,,
EDR124975,8215,,,,QUOS L V P AMAT VALEANT,Personalized poetry,May those whom L(ucius) V(---) P(---) loves be well. (N.B. This is a personalized version of a well-known poem.),,,,,,,,,,,,,,
EDR124970,8217,,,,Canui,Name,Caniu(s?),,,,,,,,,,,,,,
EDR124979,,,,,Nicopolis VA,Greetings to Nicopolis,"Nicopolis, Bye!",,,,,,,,,,,,,,
EDR124981	,,,,,Anthis VA,Greetings to Anthis,Anthis. Bye!,,,,,,,,,,,,,,
EDR124982        ,,,,,Anthis VA,Greetings to Anthis,Anthis. Bye!,,,,,,,,,,,,,,
EDR124983        ,,,,,Nicopolis VA,Greetings to Nicopolis,"Nicopolis, Bye!",,,,,,,,,,,,,,
EDR124984        ,,,,,Nicopolis VA,Greetings to Nicopolis,"Nicopolis, bye!",,,,,,,,,,,,,,
EDR124986        ,,,,,Hantis  VA,Greetings to Hantis (=Anthis),"Hantis, bye!",,,,,,,,,,,,,,
EDR124987        ,,,,,Hantis ,Graffito mentioning a (misspelled) name,Hantis (=Anthis),,,,,,,,,,,,,,
EDR124989	,,,,,[Eu]plia,Graffito mentioning a name,[Eu]plia,,,,,,,,,,,,,,
EDR124991	,,,,,Plataco Turuda,Graffito,Plataco Turuda,,,,,,,,,,,,,,
EDR124992	,,,,,VA  Quarti(ll?)a,Greetings to Quartilla,"Bye, Quartilla",,,,,,,,,,,,,,
EDR124993	,,,,,Quartila VA,Greetings to Quartilla,"Quartila, bye!",,,,,,,,,,,,,,
EDR124994	,,,,,[C]ypare VA,Greetings to Cypare,"[C]ypare, bye!",,,,,,,,,,,,,,
EDR124995	,,,,,Quartilla VA,Greetings to Quartilla,Quartilla bye!,,,,,,,,,,,,,,
EDR124996	,,,,,Quartill( )a,Graffito mentioning a name,Quartilla,,,,,,,,,,,,,,
EDR124997	,,,,,SALUTI VEN(IENTIS) VEN(IENTIS) III,Graffito with greetings,To the health of the one entering,,,,,,,,,,,,,,
EDR124998	,,,,,SALUTI VENIENTIS,Salutations,To the health of the one entering,,,,,,,,,,,,,,
EDR124999	,,,,,Cosmus,A name,Cosmus,,,,,,,,,,,,,,
EDR125000	,,,,,Oppi,Names,Oppi,,,,,,,,,,,,,,
EDR125001	,8222,,,,Con(ti)quere omn(es),Quotation of literature,All fell silent...,,,,,,,,,,,,,,
EDR073610,8223,,,,Fulgur (conditum?),Marker,Struck by lightning,,,,,,,,,,,,,,
EDR127212,8518,,,,Evanthus,Graffito naming Euanthus,Euanthus,,,,,,,,,"Not. Sc., 1939, p. 241, nr. 1 (M. Della Corte) (1)<br>CIL 04, 08518 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127212 (3)",,,,,
EDR128746,8520,,,,〈:textus non legitur〉,Graffito  ,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 241, nr. 4 con apografo (M. Della Corte) (1)<br>CIL 04, 08520 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 115, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128746 (4)",,,,,
EDR127213,8521,,,,"Geganius
Romulus
aedilis
ivenalium (:iuvenalium)",Graffito mentioning an aedile,"Geganius Romulus, aedile of the iuvenales",,,,,,,,,"Not. Sc., 64, 1939, p. 241-42, nr. 5 (M. Della Corte) (1)<br>M. Della Corte, Case ed Abitanti, Napoli 1965, p. 400, nr. 856 (2)<br>CIL 04, 08521 (3)<br>A. Borlenghi, Il campus. Organizzazione e funzione di uno spazio pubblico in età romana. Le testimonianze in Italia e nelle province occidentali, Roma 2011, p. 225 (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 116 con foto (5)<br>Development of Gymnasia and Graeco-Roman Cityscapes, Berlin 2018 p. 103 (M. Trümper) (6)<br>R. Wachter, Pompejanische Wandinschriften, 2019, p. 144, nr. 358a, con traduzione tedesca (7)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127213 (8)",,,,,
EDR127842,8522,,,,[Pro]culus,Graffito naming Proculus,Proculus,,,,,,,,,"Not. Sc., 64, 1939, p. 242, nr. 6 (M. Della Corte) (1)<br>CIL 04, 08522 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 116 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127842 (4)",,,,,
EDR128747,8523,,,,POMΛ,Graffito,(Beginning of word),,,,,,,,,"Not. Sc. 1939, p. 241-242, nr. 7 con apografo (M. Della Corte) (1)<br>CIL 04, 08523 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128747 (3)",,,,,
EDR128748,8524,,,,〈:textus non legitur〉,Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, pp. 242, nr. 8 et p. 241 con apografo (M. Della Corte) (1)<br>CIL 04, 08524 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 116 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128748 (4)",,,,,
EDR128750,8525,,,,"〈:stria 5〉
X

〈:stria 8〉
IIIII

X

〈:stria 12〉
X
X

〈:stria 13〉
X

〈:stria 16〉
X

〈:stria 17〉
((denarius))",Roman numerals,"""10,"" ""5,"" ""10,"" ""10, 10,"" ""10"" denarius (a large coin)",,,,,,,,,"Not. Sc., 64, 1939, pp. 242, nr. 9 (M. Della Corte) (1)<br>CIL 04, 08525 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 117, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128750 (4)",,,,,
EDR128284,8526,,,,"Provi=
den̂tes
",Graffito,Thoughtful (ones),,,,,,,,,"Not. Sc., 64, 1939, p. 242, nr. 10 (M. Della Corte) (1)<br>CIL 04, 08526 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 118 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128284 (4)",,,,,
EDR128285,8527,,,,A(uli) Iuni,Graffito naming Aulus Iunius,Of Aulus Iunius (?),,,,,,,,,"Not. Sc., 64, 1939, p. 242, nr. 11 (M. Della Corte) (1)<br>CIL 04, 08527 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 118 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128285 (4)",,,,,
EDR127844,8529,,,,SAV̂F,Beginning of a name,Sauf(eius?),,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 13 (M. Della Corte) (1)<br>CIL 04, 08529 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 118, con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127844 (4)",,,,,
EDR127080,8531,,,,"M(arcus) Titinius
cinaedus
L̅V̅",Insult,"Marcus Titinius is a pervert, ""55""",,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 16 (M. Della Corte) (1)<br>CIL 04, 08531 (2)<br>A. Varone, Erotica Pompeiana: Iscrizioni d'amore sui muri di Pompei, Rome 1994, p. 127 (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127080 (4)",,,,,
EDR127425,8532,,,,"〈:ad perpendiculum〉
Cinn(amus?)",Beginning of a name,Cinn(amus?),,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 17 (M. Della Corte) (1)<br>CIL 04, 08532 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127425 (3)",,,,,
EDR128759,8533,,,,"〈:in striis variis〉
MI
 
CII
 
X
 
XXI
 
I̅I̅I̅I̅",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 18 (M. Della Corte) (1)<br>CIL 04, 08533 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128759 (3)",,,,,
EDR127407,8534,,,,SIÂNEI,Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 243, nr. 19 (M. Della Corte) (1)<br>CIL 04, 08534 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 119 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127407 (4)",,,,,
EDR128292,8535,,,,"Apsyrtus 
Lacene
ûb̂îq(ue)",Greetings from Apsyrtus,"Apsyrtus: (Greetings) to Lacena, everywhere",,,,,,,,,"Not. Sc., 64, 1939, p. 243-44, nr. 20 (M. Della Corte) (1)<br>CIL 04, 08535 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 120 con foto e fascimile. (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128292 (4)",,,,,
EDR127404,8536,,,,LXIIII,Roman numerals,"""64""",,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 21 (M. Della Corte) (1)<br>CIL 04, 08536 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 121 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127404 (4)",,,,,
EDR128291,8537,,,,Trae(x) (:Thraex),Graffito mentioning a gladiator,Thraex (style of gladiator),,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 22 (M. Della Corte) (1)<br>CIL 04, 08537 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 121 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128291 (4)",,,,,
EDR167618,8538,,,,"VI+IV+A
C CA+BI
〈:vacat〉
P",Graffito,(Incomprehensible series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 23 (M. Della Corte) (1)<br>CIL 04, 08538 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 121 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167618 (4)",,,,,
EDR128287,8539,,,,"〈:stria 7〉
X

〈:stria 12〉
X 
R

〈:stria 17〉
S",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 24 (M. Della Corte) (1)<br>CIL 04, 08539 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 122 con fotos [stria 7, 12] (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128287 (4)",,,,,
EDR167619,8540,,,,"Apsyrtûs
Valent=
ine (:Valentinae) ubiq(ue)",Greetings from Apsyrtus,"Apsyrtus: (Greetings) to Valentina, everywhere",,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 25 (M. Della Corte) (1)<br>CIL 04, 08540 con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma  2012, vol. I, p. 123 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR167619 (4)",,,,,
EDR128286,8541,,,,Fortis,Graffito,Brave (?),,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 26 (M. Della Corte) (1)<br>CIL 04, 08541 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128286 (3)",,,,,
EDR128751,8542,,,,"〈:stria 6〉
X
 
〈:stria 7〉
MV
X
",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 27 (M. Della Corte) (1)<br>CIL 04, 08542 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 123 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128751 (4)",,,,,
EDR128754,8543,,,,"〈:stria 5〉
X

〈:stria 15〉
((denarius))",Graffito ,"""10,"" denarius (a large coin)",,,,,,,,,"Not. Sc., 64, 1939, p. 244, nr. 28 (M. Della Corte) (1)<br>CIL 04, 08543 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 124 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128754 (4)",,,,,
EDR128757,8544,Drawing of a person,,,"Pompeianis Paevoniam (:Paeoniam)
PO
((:figura hominis ad sin.))",Wordplay?,"A peony(?) for the Pompeians, PO",,,,,,,,,"Not. Sc., 64, 1939, p. 245-46, nr. 29 con apografo (M. Della Corte) (1)<br>CIL 04, 08544 con apografo (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung Und Bedeutung, Wiesbaden 2001, nr. 698 (laufende Figur), con apografo (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 125 con foto (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128757 (5)",,,,,
EDR174688,8544,,,,"〈:stria 11〉
A

〈:stria 12〉
A",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 246, s.n. (M. Della Corte) (1)<br>CIL 04, 08544 nota (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 125 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR174688 (4)",,,,,
EDR128760,8545,,,,"〈:stria 11〉
((signum))

〈:stria 13〉
V 

〈:stria 14〉
M",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 246, nr. 31  (M. Della Corte) (1)<br>CIL 04, 08545 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 125 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128760 (4)",,,,,
EDR127297,8550,,,,((centuria)) Clementis,Graffito mentioning a centurion?,The century (unit) of Clemens,,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 36  (M. Della Corte) (1)<br>CIL 04, 08550 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 128 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127297 (4)",,,,,
EDR127403,8551,,,,"〈:stria 1〉
X 
 
〈:stria 2〉
O 
 
〈:stria 8〉
A 
 
〈:stria 12〉
M 
 
〈:stria 14〉
X
 
〈:stria 20〉
 X",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 37  (M. Della Corte) (1)<br>CIL 04, 08551 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 129 con fotos (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127403 (4)",,,,,
EDR128774,8552,,,,"PI
〈:vacat〉
G
G
C
",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 247, nr. 39 (M. Della Corte) (1)<br>CIL 04, 08552 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 130 con foto (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127774 (4)",,,,,
EDR128775,8553,,,,"〈:textus non legitur〉
",Graffito,(Incomprehensible series of characters),,,,,,,,,"Not. Sc., 64, 1939, p. 247-8, nr. 40 con apografo (M. Della Corte) (1)<br>CIL 04, 08553 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128775 (3)",,,,,
EDR127406,8554,,,,"〈:ad perpendiculum〉
Castalo s(alutem)",Greetings to Castalus,"Hi, Castalus!",,,,,,,,,"Not. Sc., 64, 1939, p. 24, nr. 41 (M. Della Corte) (1)<br>CIL 04, 08554 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127406 (3)",,,,,
EDR128776,8555,,,,"Valeri
va(le)
M̂A FI
IVS",Greetings to Valerius,"Bye, Valerius (...other letters here...)",,,,,,,,,"Not. Sc., 64, 1939, pg. 248, nr. 7 (M. Della Corte) (1)<br>CIL 04, 08555 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128776 (3)<br>",,,,,
EDR128777,8556,,,,"Clodius
hic et ubiq(ue)
amabilit=
er",Graffito naming Clodius,Clodius (sends greetings) here and everywhere - with love!,,,,,,,,,"Not. Sc., 64, 1939, p. 248, nr. 44 (M. Della Corte) (1)<br>CIL 04, 08556 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128777 (3)",,,,,
EDR127429,8557,Drawing of a face,,,"((:caput hominis))

Ἥσυχος
〈:nomen scriptum ad dexteram imaginis scariphatae〉",Graffito in Greek,Ἥσυχος (Hesychus),,,,,,,,,"Not. Sc., 64, 1939, p. 248, nr. 46, con apografo (M. Della Corte) (1)<br>CIL 04, 08557 (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung, und Bedeutung, Wiesbaden 2001, nr. 203 (Kopf) (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127429 (4)",,,,,
EDR127421,8558,,,,"〈:stria 6〉
Q 
S
S

〈:stria 7〉
QII
SSS",Graffito,(Individual letters),,,,,,,,,"Not. Sc., 64, 1939, p. 248, nr. 47 (M. Della Corte) (1)<br>CIL 04, 08558 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127421 (3)",,,,,
EDR128778,8559,,,,"Pan[em? ---]
PVRTARIVM+ 
X",Graffito mentioning food,"Bread? Porridge, ""10""",,,,,,,,,"Not. Sc., 64, 1939, p. 249, nr. 48 con apografo (M. Della Corte) (1)<br>CIL 04, 08559 con apografo (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128778 (3)",,,,,
EDR128779,8560,,,,Matris Elesina (:Eleusinae),Graffito,Of the Eleusinian mother,,,,,,,,,"Not. Sc., 64, 1939, p. 249, nr. 49 (M. Della Corte) (1)<br>CIL 04, 08560 (2)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128779 (3)",,,,,
EDR127405,8562,,,,"Qui mihi docendi
dederit mercedem,
abeat (:habeat) quod
petit a superis",Statement about education,May he who has given me payment for teaching have that which he asks from the gods.,,,,,,,,,"Not. Sc., 64, 1939, p. 250, nr. 52 con apografo (M. Della Corte) (1)<br>CIL 04, 08562 (2)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 265, nr. H75, traduzione inglese (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127405 (4)",,,,,
EDR127191,8563,,,,Urs(us),Graffito,"Bear (or the beginning of a name, or just initials)",,,,,,,,,"CIL 04, 08563 (1)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127191 (2)",,,,,
EDR128662,8567,,,,"Dos 
I a(ssis)",Graffito mentioning money,Give (Greek imperative!) one as (small coin),,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 63 (M. Della Corte) (1)<br>CIL 04, 08567 (2)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile (3)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128662 (4)",,,,,
EDR127081,8568,,,,"Cupr=
on=
ius=
epol
Romul=
us in
caelo 
Martis
equita (:equitat)",Quotation from Ennius (adapted),"By Pollux, Cupronius! Romulus, (son) of Mars, rides in heaven.",,,,,,,,,"Not. Sc., 64, 1939, p. 252, nr. 64 (M. Della Corte) (1)<br>CIL 04, 08568 (2)<br>The Cambridge Companion to Roman Satire, Cambridge 2005, pp. 126-127 (C. Connors) (3)<br>Stud. Philol. Val., 11, 2008, p. 51 (P. Cugusi) (4)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131 con facsimile (5)<br>A. Cooley and M. Cooley, Pompeii and Herculaneum: a Sourcebook (2 ed.), New York 2014, p. 292 (6)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR127081 (7)",,,,,
EDR128738,8569,Drawing of a trophy? and writing,,,"((:trophaeum?))
ATIIIIVS NAS
II+",Graffito,(Drawing and series of letters),,,,,,,,,"Not. Sc., 64, 1939, p. 253, nr. 65 (M. Della Corte) (1)<br>CIL 04, 08569 (2)<br>M. Langner, Antike Graffitizeichnungen: Motive, Gestaltung und Bedeutung. Wiesbaden 2001, nr. 956 (Tropaion?) (3)<br>A. Varone, Titulorum graphio exaratorum qui in CIL Vol. IV collecti sunt imagines, Roma 2012, vol. I, p. 131, con apografo (4)<br>http://ancientgraffiti.org/Graffiti/graffito/AGP-EDR128738 (5)",,,,,
