"EDR092812","Textus secundum (1)<br>in minuti caratteri (1)"
"EDR159691","Textus secundum (2), mensurae ex apographo apud (2).<br>Periit (7).   Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et propter tectorii lapsum non invenerunt. <br>v. 1-5: versus Verg. Aen. 1.192-93 (NEC PRIUS ABSISTIT, QUAM SEPTEM INGENTIA VICTOR / CORPORA FUNDAT HUMI, ET NUMERUM CUM NAVIBUS AEQUET)<br><br>Infra EDR127414<br>In eadem columna EDR127428 (stria 4), EDR129116, EDR129117, EDR127145, EDR127242 (stria 5);  EDR128118, EDR127155 (stria 6); EDR127151 (stria 7); EDR127237 (stria 12); EDR127149 (stria 15-18)<br>"
"EDR073766","Textus secundum (3)"
"EDR073805",
"EDR073807",
"EDR073808",
"EDR073814",
"EDR073816",
"EDR074234","Textus secundum (2),(4)"
"EDR074292","Textus secundum (2)<br>Cucuta pro cicuta (4)(5), sed alii tituli in hac domu etiam nomen huius servi imperatoris habent (9)."
"EDR074682","Textus secundum (1)"
"EDR074685","Textus secundum (1)"
"EDR074686",
"EDR074811",
"EDR158675","Textus secundum (1)<br>v. 3: Idem Celadus in multis titulis in hoc aedificio notus est (e.g. CIL 04, 04352, 04356). Thraex unum genus gladiatorum est, velut retiarius, hoplomachus, etc."
"EDR152964","Textus secundum (2), mensurae secundum (3). <br>Contulerunt et mensuras prehenderunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.  <br>v. 1-3: status litterarum a. 2016 (3).<br>vv.1-3: Exstabat omnis titulus a. 1994 (2), sed dextra pars tectorii fracta erat a. 2017 (3).<br><br>Mensurae pro integri titulo secundum (1): <br>v. 1: lat. 9,1; litt. alt. 2,3-3,2<br>v. 2: lat. 14,5; litt. alt. 1,4-2,0<br>v. 3: lat. 7,2; litt. alt. 1,9-2,8<br>Prope EDR152963, EDR152964, EDR152999, EDR154590, EDR154591"
"EDR153355","Textus et mensurae secundum (1); periit (8).<br>Contulit et non invenit Benefiel (HGP) a. 2016.<br>vv. 1-2:  II pro littera E scriptum <br>v. 1: lat.: 18,5; litt. alt.: 0,3-1,7 (1)<br>v. 2: lat.: 18,0; litt. alt.: 0,3-1,3 (1)<br>De eadem sententia in Pompeiis vide CIL 04, 01811 et 01870 Add. p. 464."
"EDR152963","Textus et mensurae secundum (1); periit (3). <br>Exstabat etiam a. 1994 (2), sed tectorium omnino abrasum a. 2017 (3).<br>Prope EDR154964, EDR154590, et EDR154591"
"EDR152931","Textus secundum (2), mensurae secundum (1), periit (3).<br>Contulerunt sed non invenerunt Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski (HGP) a. 2016.<br>v. 1: CABINIO pro SABINIO scriptum<br>v. 3: Secunda littera S retrograda scripta est. Haec duo signa non litterae sed ornamenta videntur (2).<br>v. 1: lat.: 1,7; litt. alt.: 1,3-1,4<br>v. 2: lat.: 2,3; litt. alt. 0,8-1,2<br>v. 3: lat.: 1,5; litt. alt. 1,1<br>Prope EDR152962"
"EDR152815","Textus et mensurae secundum (1), periit (3).<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>v. 1: ""Vestigia quaedam incerta vidi, quae nescio an pertineant ad titulos hanc et sequentem."" (2)<br>Prope EDR140053, EDR152929"
"EDR152929","Textus et mensurae secundum (1), contulit Sypniewski ad apographum a. 2015; alterae litterae in titulo videntur. Periit (2).<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>v. 1: (H)ILASV(S) fortasse pro (H)ILARV(S) (1)<br>Prope EDR140053, EDR152815"
"EDR152999","Textus et mensurae secundum (1), periit (2).<br>Contulerunt sed non invenerunt Gibson, Hardy, Minnear, Smith (HGP) a. 2016.<br>v. 1: fortasse nomen QVARTVS est, aut numerus ordinalis.<br>Prope EDR152963, EDR152964, EDR154590 et EDR154591"
"EDR151899","Textus et mensurae secundum (1); periit (2)<br>Contulit et non invenit Benefiel (HGP) a. 2016.<br>v. 1: lat.: 0,6; litt. alt.: 1,1<br>v. 2: lat.: 5,2; litt. alt.: 1,0-1,8<br>In eodem peristylio EDR151897"
"EDR153000","Textus et mensurae secundum (1). <br>Benefiel, Gibson, Hardy, Minnear, Smith, Sypniewski contulerunt et mensuras prehenderunt (HGP) a. 2016. <br>v. 1: status litterarum a. 2016 (3)."
"EDR153110","Textus et mensurae secundum (1)"
"EDR076752","Textus secundum (1)"
"EDR076753","Textus secundum (1)<br>Poppaea uxor imperatoris Neronis erat. Fortasse ea munera oppido Pompeis post terrae motum misit (5).<br>Prope EDR076754 et EDR079714"
"EDR076754","Textus secundum (1)<br>Prope EDR076753 et EDR079714<br>v. 1: ""ad Venerem sanctissimam"" = ad oppidum Veneris, i.e. Pompeii<br>Hi versuus metrici esse possunt (5).<br>Hic Caesar est Nero, quoniam sua coniunx, Poppaea, in titulo supra (EDR076753) in eodem pariete, nominata est.<br>Fortasse Nero et Poppaea munera oppido Pompeis post terrae motum dederunt (6)."
"EDR076755","Textus secundum (1-3)<br>Signaculum huius viri (C. Iuli Philippi) in eadem casa inventum est, cf. EDR076756. C. Iulius Philippus etiam in programma EDR147620 invenitur."
"EDR076757","Textus secundum (1)<br>i.e. Cascellius, memor Crassi, explicatur apud (1)"
"EDR076758","Textus secundum (1)<br>Salutatio pro Paride, pantomimus notus.<br>""in eleganti lettere"" (1)"
"EDR077696","Textus secundum (3), mensurae secundum (1). <br>Locatio inventionis secundum (7), aliter (1-3), apud quos ad II.3.1 locatur, sed numeri insulis in hac regione Pompeis mutati sunt.<br>v. 1: SI ICNVS IN CAELO EST HACTI pro hac[te](nus)?(1), SI CICNVS IN CAELO EST HAC[...] (2)<br>Littera N in ICNVS et IN ut aliquid signum quasi litterae NV in nexu datur apud (3).<br>Fortasse scriptor de stella (Cygnus) in caelo pensat? (2) Astrologi verba esse videntur. (3)"
"EDR077698","Textus secundum (6), periit (11). Contulerunt et non invenerunt Zimmermann Damer, Sypniewski, et Benefiel a. 2019 (AGP). <br>v. 2: BENEF(iciarius) AC MILES (1)<br>v. 8: (SE) DEDERUNT (1); SESERUNT (= sederunt?) (9)<br>In eadem columna EDR168362, EDR168360, EDR168358, EDR168357, EDR168348, EDR168349, EDR168347, EDR168345, EDR168341"
"EDR079495","Textus secundum (2)(6), aliter (1), (3-5)<br>vv. 2-3: CVNNV LINGII RIINO / IIIIVIIILIS IN MVRO (1)<br>vv. 1-3: ita fere legenda, POPILUS, (ut) CANIS / CVNNV LINGE RENO / MVNLIS (fortasse pro mingis?) MVRO (1)"
"EDR079712","Textus secundum (1), (3), aliter (2), contulit ad imaginem G. Camodeca.<br>Eunus (non Creunus) (2)<br>vv. 8-12: Munus Nolae de(dit) / quadridu(um) / M. Comini(us) / heredi (2), interpretazione che sarebbe certo preferibile, se riuscisse però a spiegare convincentemente la parola 'heredi' (dovrebbe trattarsi di Tito); contra (3).<br>La datazione neroniana è fornita dalla partecipazione di gladiatori Ner(oniani), addestrati cioè nel Ludus di Capua di proprietà imperiale. "
"EDR079713","Textus secundum (1)<br>vv. 1-3: Etiam NIGRU(M) / CUM NESTO / SUMIS proponitur (1)"
"EDR079714","Textus secundum (1)<br>Prope EDR076753 et EDR076754"
"EDR148672","Textus et mensurae secundum (1)<br>v. 1: II scriptum pro littera E<br>v. 2: prima I aut P aut F esse potest"
"EDR148654","Textus secundum (1). <br>v.1: lectio ultimae litterae non satis certa est. Fortasse ""Auge"" sit (1). Etiam ""Aug(usti?) <:servus>"" possit.<br>"
"EDR127829","Textus et mensurae latitudinis et litterarum secundum (2), mensura altitudinis secundum (1); periit (4). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>v. 1: II pro littera E scriptum<br>Hoc verbum repetitur infra in eadem stria sed in alia manu (2) (EDR127830).  Invenitur etiam in columna XXI Campi ad amphitheatrum, sed sexies in tribus striis (6-8) (EDR127427).<br>Supra EDR127831, EDR127830, et EDR128660 <br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR127413","Textus secundum (3). Contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Litterae non in ordine scriptae sunt, ut solet.<br>v. 1: QV&#923; (1), 'Quid sibi velit, nescio' (2), VE/N(---) (3)<br>Apographum huius tituli apud (2) dissimile ab imagine (photo) apud (3) est.<br>Textus incertus est (1),(2).<br>In eadem columna: EDR127411 (Stria 7), EDR127418 (striae 10, 12-13), EDR127419 (stria 17)"
"EDR151816","Textus et mensurae secundum (1)<br>v. 1: LAGUNAS pro LAGOENAS (1)<br>Prope EDR140254, EDR151818"
"EDR151822","Textus secundum (2)<br>v. 1: VASILEVS pro BASILIVS? (2)<br>v. 2: PVTELIS pro PVTEOLIS; AVGVST[I] (1)-(2)<br>v. 3: aliter (1) SV[- - -] VALERI[- - -]: SV[M?] VALERI[VS?] vel SV[B?] VALERI[O?] (1)<br>v. 3: VALERI[O] (2)<br>Hic titulus cum EDR140036 coniungendus sit (1)-(2)<br>Supra EDR140036"
"EDR148652","Textus secundum (1)<br>v. 2 milis (:miles) coh(ortis) V pr(aetorianae) ((centuria)) Martialis"
"EDR081355","Textus secundum (5)-(7), aliter (1)-(4)<br>v. 2: UB(I) ERANT [adsunt] (2)(4)<br>v. 3: EXINDE IACENTES (2)(4), EXINDE OCIOII (5)<br>Quint. Inst. 7.9.8: quinquagenta ubi erant centum inde occidit Achilles.<br>De hoc titulo ut exemplum docendi et discendi (6)(8)"
"EDR081356","Textus secundum (1)<br>Locus inventionis: Regio II, Ins. XIV, nr. 7 (1)-(3), sed numeri insularum huius areae urbis mutati sunt, et haec insula nunc est I.14.<br>v. 1: pertinetne ad C. Plinii Caecilii Secundi minoris Laurentinum? (1)<br>Estne sententia ex Verg. Aen. 8.1: Ut belli signum Laurenti Turnus ab arce...? (2)"
"EDR081693",
"EDR124968","Textus secundum (1)"
"EDR124971","Textus secundum (1)"
"EDR124993","Textus secundum (1), periit (2). Contulit R. Benefiel a. 2008."
"EDR124994","Textus secundum (2)"
"EDR124995","Textus secundum (1)"
"EDR124996","Textus et mensurae secundum (2). Contulit R. Benefiel a. 2008."
"EDR124998","Textus secundum (1), periit (2). Contuli et non inveni a. 2012.<br>Cfr. EDR124997 in eadem domu: Salute&#803;(m) ven(ientis) / ven(ientis) / III."
"EDR124999","Textus et mensura secundum (1), periit (2). Contuli et non inveni a. 2012."
"EDR125000","Textus secundum (1), periit (2). Contuli et non inveni a. 2012."
"EDR124967","Textus secundum (1)"
"EDR124969","Textus secundum (2), aliter (1)"
"EDR124970","Textus secundum (1)-(2)<br>v.1: CANIV pro CANIVS"
"EDR124972","Textus secundum (3)"
"EDR124973","Textus secundum (4)"
"EDR124974","Textus secundum (4)"
"EDR124975","Textus secundum (2)"
"EDR124976","Textus et mensurae secundum (4)"
"EDR124977","Textus secundum (4)"
"EDR124978","Textus secundum (4)"
"EDR124981","Textus secundum (2)"
"EDR124982","Textus secundum (2)"
"EDR124983","Textus secundum (2), aliter (1), contulit ille a. 2008<br>V. 1: Nicopolis vale (1)"
"EDR124984","Textus secundum (2)"
"EDR124987","Textus secundum (2)"
"EDR124989","Textus secundum (1), periit (2). Contulit R. Benefiel a. 2008."
"EDR124991","Textus secundum (1), periit (2). Contulit R. Benefiel a. 2008."
"EDR124992","Textus secundum (2)"
"EDR125002","Textus et mensura secundum (1), periit (2)(3). Contuli et non inveni a. 2012."
"EDR125529","Textus secundum (1)(7)<br>v. 1: apographon datur et transcriptio: Caesaris Augusti femina mater erat (1); Caesar[is] Augusti femina mater era(t) (7); lapsu tectorii ad dextram, qui in apographo apud (1) et foto apud (7) videtur, fortasse, ultima littera T scripta erat, i.e. non ERA(t) sed ERA[t] (9)<br>Pentameter (1)<br>"
"EDR125532","Textus et mensura secundum (1)"
"EDR127147","Textus secundum (4), mensurae secundum (2),(4). Mensura alt. secundum (4). Periit (3).  Contulerunt Sypniewski et Benefiel (AGP); vestigia exigua adhuc a. 2019 extant. <br><br>v. 1: EROS in campo ad amphitheatrum (col. LXXI) etiam invenitur ad EDR128644.<br>v. 2: Thymele nota Pompeiis est, sed scripta ut Timele. Vide CIL 04, 1387-1388a.<br><br>Prope EDR128084 (striae 5-6) <br>In eadem columna EDR167646 (stria 11); EDR128276 (stria 13); EDR128277, EDR128278 (stria 14); EDR127399 (striae 15-16)"
"EDR127157","Textus et mensurae secundum (2). Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>v. 1: QVA(dratus) nomen (2)<br>Littera una pro quaque stria clavo scripta (2)<br>In eadem columna EDR128057, EDR128058, EDR128013, EDR128062"
"EDR127158","Textus secundum (2); mensurae secundum (4).  Contulerunt E. Zimmermann Damer et R. Benefiel a. 2019 (AGP).<br>Mensurae<br>v. 1: alt.: 2.8; lat.: 2.4<br>v. 2: alt.: 4.9; lat.: 3.4<br>In eadem columna EDR128583, EDR128585, EDR128582, EDR167487, EDR127218, EDR167489, EDR167490, EDR167491, EDR167492"
"EDR127191","Textus secundum (1)-(2), mensura secundum (1). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>In stria proxima [8], VR invenitur (EDR127830).  Initio eiusdem nominis? (3)<br>Infra EDR168101 (imago faciei) et EDR167581 (alphabetum Graecum)<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5);  EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR127081 (stria 15); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR127188","Textus secundum (2), periit (3). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019. Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br><br>Litterae variarum altitudinum (2)<br><br>In eadem columna: EDR128737, EDR167626, EDR127193, EDR167661, EDR127410, EDR175186, EDR127412, EDR127416, EDR127417, EDR127420, EDR127422"
"EDR127080","Textus et mensurae secundum (2).  Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019.   Tectorio nunc abraso, periit (4). <br>v. 2: littera X pro U scripta (2)<br>A. Titinius Princeps in titulis scariphatis in basilica Pompeiis invenitur (CIL 04, 1807, 1867, 1932, 1945).<br>In eadem columna EDR128759 (striae ignotae), EDR127425 (fasciola inter strias 18 et 19)"
"EDR127160","Textus secundum (2), mensurae secundum (4), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>v. 1: &#390; significat centurionis vel centuria (2). <br>v. 1: &#390; maior multo alteris litteris est (4), &#390;: alt.  2,8 cm, alterae litterae: alt. 0.7-1,6 cm.<br>Octo tituli in campo ad amphitheatrum hoc signum (centurio?) mostrant: EDR127297 (col. XIV), EDR127160 (col. XXIX), EDR127807 (col. XXXIV), EDR128067 (col. LXVIII), EDR128082 (col. LXIX), EDR127579 et EDR127578 (col. LXXIII), EDR167976 (col. LXXXV).<br><br>In eadem columna: EDR128061 (stria 11-13), EDR127409 (stria 17)<br>"
"EDR127424","Textus et mensurae secundum (1)<br>Locus inventionis: ad d. ostii II.IV.3 (1), sed numerus insulae mutatus est.<br>Crassa cuspide scriptum est (1)."
"EDR127140","Textus secundum (2); mensura altitudinis secundum (1), aliae mensurae secundum (2). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et non invenerunt.  Lapsu tectorii, periit (3).<br>v. 1: fortasse coniungendus cum EDR127231 (2)<br>Supra EDR127231, EDR127233, EDR127234 <br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR167628 (stria 16-17)"
"EDR127234","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP); pauca vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: ATILLIVS pro ATILIVS. II pro littera E scripta.  Littera T maior aliis est.  <br>De eodem nomine ATILIVS in campo ad amphithetatrum, vide EDR128661 et EDR128738 (col. XVIII) <br>Infra EDR127140, EDR127231. Hic titulus in eodem loco ut EDR127233 scriptus est. <br>Permulti tituli in eadem columna inveniuntur: EDR127816, EDR127817, EDR127818 (stria 5); EDR127819 (stria 6); EDR127820 (stria 6-10); EDR127821 (stria 6-7), EDR127822 (stria 7); EDR127823,  EDR073638 (stria 10);  EDR167589 (stria 13); EDR127826, EDR127827 (stria 14); EDR167628 (stria 16-17)"
"EDR127299","Textus et mensurae secundum (1), contulerunt Zimmermann Damer et Benefiel (AGP) a. 2019.<br>Titulus magnis litteris scriptus est (4).<br>In eadem columna EDR127298 (stria 5), EDR128014 (stria 8), EDR128294 (stria 15)."
"EDR127403","Textus secundum (3)-(4); mensurae infra secundum (4).  Contulerunt Sypniewski et Benefiel (AGP). Litterae in striis 1 et 20 nunc perierunt; aliae litterae (striis 2, 8, 12, 14) adhuc extant a. 2019.<br>striae 1, 2, 8, 12, 14, 20: Litterae singulares variis cuspidis et in variam altitudinem incisae (3)<br>stria 2: O (3)-(4), aliter (&#390;) (1)-(2).<br>Mensurae<br>stria 2: alt.: 3,9; lat.: 3,9<br>stria 8: alt.:  4,8; lat.: 1,3<br>stria 12: alt.: 5,4; lat. 4,9<br>stria 14: alt.: 7,7; lat.: 5,9<br><br>In eadem columna EDR128293 (stria 6), EDR167625 (stria 6), EDR128769 (stria 7), EDR128770 (stria 7), EDR128772 (stria 11), EDR128773 (stria 12), EDR127297 (stria 15)"
"EDR127406","Textus et mensurae secundum (2).  Contulerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit (3).<br>v. 1: clavo(?) scriptus (2); ad perpendiculum (hic, sursum) scriptus est.<br><br>Scriptus ad perpendiculum infra EDR167567 et in eadem stria, fortasse cum eodem coniungendus est (4)<br><br>In eadem columna EDR167439, EDR167440, et EDR167441 (stria 6); EDR128776 (stria 7); EDR128777 et EDR167568 (stria 9); EDR127429 (stria 15)"
"EDR127428","Textus et mensurae secundum (2), periit (7). Contulerunt Sypniewski et Benefiel (AGP) a. 2019; vestigia in tectorio corroso adhuc a. 2019 extant. <br><br>Nomen Chloe sexies in campo ad amphitheatrum invenitur: col. XXXI (EDR127423), col. LXI (EDR127817), col. LXII in tribus striis contiguis (4-6) et in eadem altitudine (hic titulus, EDR128116, EDR128118), et col. LXIII (EDR127368).  <br>Chloe erat actor (3),(5) aut meretrix (4),(6). <br>Chloe cum Actio Aniceto (alibi dominus scaenicorum appellatur) in Regio VII.6.35 (CIL 04, 01646, et add. p. 210) nominatur (3). <br>In eadem columna EDR129116, EDR129117, EDR127145, EDR127242 (stria 5); EDR128118, EDR127155 (stria 6); EDR127151 (stria 7); EDR127237 (stria 12); EDR127414, EDR159691 (stria 15); EDR127149 (stria 15-18)<br>"
"EDR127081","Textus et mensurae secundum (2). Periit (3)(4). Contulerunt et non invenerunt Sypniewski et Benefiel (AGP) a. 2019; lapsu tectorii periit.<br>vv. 4-7: Vide versum Ennii (Romulus in caelo cum dis genitalibus aevom / degit) (Skutsch fr. 110-11), qui in carminibus saturis nonnumquam ludebatur (3)(4).<br>vv. 4, 7, 9: II pro littera E scriptum<br>Haec sententia (Romulus in caelo) quater Pompeiis invenitur, cfr. CIL 04, 3135, 7353, 8995a-b.<br>Permulti tituli, quorum multi imagines sunt, in hac columna inveniuntur: EDR167447, EDR167574, EDR128290 et EDR167446 (stria 4); EDR127405, EDR167451, EDR167453 (stria 5); EDR168101, EDR167581, et EDR127191 (stria 7); EDR127829, EDR127830, EDR127831, EDR128660 (stria 8); EDR128661 et EDR128733 (stria 9); EDR127828 et EDR128734 (stria 13); EDR128662 (stria 14); EDR128738 et EDR167583 (stria 16); EDR128663 (stria 10, 12, 15-16, 17)"
"EDR127145","Textus secundum (2); mensura altitudinis secundum (1), aliae mensurae secundum (2). Periit (4). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>v. 1: Titulus in stria 5 et trans fasciolam dexteram scriptus est (5). Clavo(?) scriptus (2)<br>In eadem stria EDR129117, EDR127145, EDR127242<br>In eadem columna EDR127428 (stria 4); EDR128118, EDR127155 (stria 6); EDR127151 (stria 7); EDR127237 (stria 12); EDR127414, EDR159691 (stria 15); EDR127149 (stria 15-18)	"
"EDR127396","Textus et mensurae secundum (2). Periit (3). Contulerunt Sypniewski et Benefiel (AGP) a. 2019 et exigua vestigia videntur. <br>vv. 1-2: CAVE / MALVM, haec monitio alibi Pompeis etiam in titulis pictis invenitur:  EDR147816, EDR147817, EDR147818, EDR147821<br>Prope EDR128064 et EDR167503 (stria 15)<br>In eadem columna EDR167645 (stria 5); EDR128065 (stria 17)"
"EDR127801","Textus secundum (2), mensurae secundum (4). Periit (3). Contulerunt Sypniewski et Benefiel (AGP); vestigia in tectorio corroso adhuc a. 2019 extant. <br>Supra EDR127806, EDR127808<br>In eadem columna EDR127790 (stria 13-14); EDR128114 (striae 14, 16); EDR167499 (stria 15); EDR127368 (stria 16)"
"EDR127835","Textus et mensurae secundum (4). Periit (3), sed contulerunt Sypniewski et Benefiel (AGP) a. 2019 et vestigia adhuc extant. <br>v. 1: signa sunt parum similia litteris. Lectio non certa est.<br>v. 1: Floru(s) (1)-(2)<br>Titulus ad perpendiculum, sed deorsum sursum, scriptus est.<br>Infra EDR127833: NAVPLIVS (in striis 13-14)<br>In eadem columna EDR167501 (stria 4), EDR171304 (striae 15-16), EDR127838 (stria 20)"
"EDR127843","Textus secundum (1). Contulerunt et non invenerunt Sypniewski et Benefiel a. 2019 (AGP). Omne tectorium columnae (et quod in columnis XVI-XXI a. 1939 exstabat) nunc caret.<br>Striae 11-12: Litterae singulares vel verborum initia (2)<br>In eadem columna EDR127427, EDR127192, EDR127848, EDR127850, EDR127979, EDR167585"
"EDR127154","Textus et mensura secundum (1). Partim extat a. 2004 (3). <br>Profondamente graffita con un chiodo (1), clavo scriptus (2).<br>Quid sibi velit, nescio (2).<br>v. 1: ARTVMORTIIMON (1), sine litteris primis"
"EDR127414","Textus et mensurae secundum (2). Contulerunt H. Sypniewski et R. Benefiel a. 2019 (AGP) et propter tectorii lapsum non invenerunt. <br>Supra EDR159691<br>In eadem columna EDR127428 (stria 4), EDR129116, EDR129117, EDR127145, EDR127242 (stria 5);  EDR128118, EDR127155 (stria 6); EDR127151 (stria 7); EDR127237 (stria 12); EDR127149 (stria 15-18)<br>"
"EDR127575","Textus secundum (4). Contulerunt Benefiel et Sypniewski (AGP); tectorio maxime corroso, tantum vestigia extant a. 2019.<br>Mensurae supra: alt. (4), lat. (2), litt. alt. (4) <br>v. 1: 'con sovrapposizione delle lettere a n u verso la fine' (1)<br>v. 1: C. LVCIANVS (2), sine litteris ANV ligatis<br>Ad perpendiculum (hic, deorsum) scriptus est  (4)<br>Infra EDR127574<br>Prope EDR128049 (striae 4-5); EDR127576 (striae 7-8)<br>In eadem columna EDR127577 (stria 10)"
